La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
,,,,,,,,,,,,,
3.80E+00,7.00E+00,1.00E+00,3.20E+00,7.40E-01,1.80E-01,6.60E-01,1.00E-01,6.00E-01,1.30E-01,4.10E-01,5.00E-02,3.30E-01,5.00E-02
3.6,4.80E+00,9.00E-01,3.00E+00,7.90E-01,1.60E-01,6.20E-01,1.00E-01,6.30E-01,1.40E-01,4.30E-01,5.00E-02,3.30E-01,5.00E-02
4.20E+00,7.70E+00,1.10E+00,3.80E+00,9.90E-01,2.00E-01,8.00E-01,1.30E-01,7.50E-01,1.60E-01,4.90E-01,6.00E-02,3.60E-01,5.00E-02
4.9,8.6,1.2,4.4,1.06,0.22,0.86,0.14,0.8,0.16,0.53,0.06,0.39,0.06
8.70E+00,1.88E+01,2.30E+00,8.30E+00,1.97E+00,3.90E-01,1.61,0.24,1.32,0.26,0.79,0.09,0.54,0.08
4.4,7.7,1.2,4.2,0.93,0.22,0.79,0.12,0.68,0.14,0.43,0.05,0.33,0.05
2.40E+00,3.20E+00,6.00E-01,2.10E+00,4.80E-01,1.10E-01,0.42,0.07,0.4,0.09,0.27,0.03,0.21,0.03
2.7,4.2,0.7,2.2,0.57,0.12,0.47,0.08,0.45,0.1,0.31,0.04,0.22,0.03
2.6,3.6,0.5,2,0.55,0.1,0.4,0.06,0.35,0.08,0.23,0.03,0.16,0.03
4.7,7.7,1.1,3.6,0.89,0.18,0.73,0.11,0.68,0.14,0.45,0.05,0.34,0.05
3.5,5.3,0.7,2.6,0.7,0.14,0.56,0.09,0.52,0.11,0.35,0.04,0.26,0.04
4.136363636,7.145454545,1.027272727,3.581818182,0.879090909,0.183636364,0.72,0.112727273,0.652727273,0.137272727,0.426363636,0.05,0.315454545,0.047272727